dead
AARON
ABELLI
ACCAINO
ADO
ADUA
AERE
AITA
AIZA
AL
ALCEA
ALCEO
ALDINA
ALIDE
ALMI
ALONGI
ALPORT
ALTEA
ALTINIER
ALVIO
AMANTO
AMARA
AMNERIS
AMO
ANELISE
ANESE
ANILLA
ANILO
ANNITA
ANTERO
ARAI
ARGIA
ARIIS
ARISTEA
ARMARI
ARMIDA
ARNA
ARRIEDO
ASIO
AULO
AVA
AVEGLI
AVON
AWA
AZAELE
AZZAN
AZZANO
BAEK
BALBUSSO
BALDON
BALLICO
BALUS
BANELLI
BANO
BARBUI
BARVO
BASILIA
BATTA
BATTOIA
BAU
BAZZARA
BAZZARO
BEACCO
BEANO
BECCIA
BEINAT
BEORCHIA
BERCE
BERLAI
BERT
BERTOIA
BEUZER
BIAZZO
BIDESE
BIDIN
BIDINI
BIDINO
BILLA
BILLIA
BIN
BINI
BIRARDA
BIRRI
BIRTIG
BISON
BISTACCO
BLADON
BLAS
BLEDIG
BOBBERA
BOBBI
BOCUS
BOEL
BOELLIS
BOEM
BOGGIAN
BOI
BORTA
BOSA
BOVA
BRACH
BRATTA
BREDA
BRIZ
BRIZZI
BRIZZI
BROI
BROLLO
BROS
BRUN
BUCOVAZ
BUDAI
BUDIN
BUFI
BULOG
BURBA
BURG
BURRA
CABAI
CABBAI
CAFFIERO
CAISSUT
CANCI
CANTA
CARRADA
CAS
CASSIN
CAUFIN
CAUSERO
CEDARO
CELSO
CELSO
CERICCO
CEROI
CHESSA
CHIAVUS
CIAN
CIANI
CILIO
CILLIA
CILLIO
CILLO
CIROI
CISINT
CIUTTO
CLAMA
CLAPIZ
CLOZZA
COBESSI
COCETTA
CODROMAZ
COGOI
COIANIZ
COL
COLLA
COLLINI
COLLORIG
COLTRO
COMAR
COMAS
COMIN
COMISSO
CONT
COOS
COPAT
CORA
CORINNA
CORTIULA
COSANI
COSATTO
COSMAR
COSOLO
COSS
COSSIO
COSSON
COVASSO
CRACINA
CRAGNO
CRAINICH
CRAMARO
CRAPIZ
CRESSA
CROMAZ
CROSE
CROTTI
CUDICIO
CUMAN
CUZZI
CUZZIT
DAFFARA
DAGMAR
DAIRA
DALLARMI
DAMIN
DAPIT
DARONCO
DAZZON
DEANA
DELENDI
DELLI
DELMA
DERNA
DESI
DESSI
DEVAS
DILENA
DINEA
DIPOI
DIRCE
DISINT
DISMA
DISNAN
DIUST
DO
DOI
DOLERA
DOLSO
DOMENE
DOMENIS
DONADA
DONDA
DONDE
DONDI
DORLI
DOSE
DOSE
DOSMO
DOTTA
DOVIER
DREON
DRI
DRIUS
DURANDI
DURI
DURIA
DUSSO
EBE
EDA
EDDA
EDDI
EDER
EDI
EFREN
EGLE
ELMA
ELSO
ENIDO
ENIER
ENISIA
ENOC
ENORE
ENOS
ERIDE
ERMELIO
ERTA
ERTA
ESILIA
EZO
FACCA
FACCI
FACHIN
FADI
FADINI
FAIN
FALCOMER
FAMEA
FANNA
FANT
FARACI
FARRA
FASSO
FAVERO
FERIGO
FEULA
FIAPPO
FIDALMA
FIDES
FILIPIG
FINES
FINK
FIORENDO
FLAIBANI
FLAMIA
FLEBUS
FLEGO
FLOCCO
FLORAM
FLORISSI
FLORITA
FOI
FOIS
FOLIA
FORNER
FRENI
FREZZA
FRONZA
FUMOLO
FURINO
GALLAI
GANIS
GANZINI
GANZITTI
GARANO
GARBUIO
GARIUP
GATTEL
GAVA
GEATTI
GEMIRA
GHENDA
GHETTI
GILPIN
GIROLA
GIVANI
GLADYS
GLERIA
GOBESSI
GOI
GOIA
GOLLINO
GOLOP
GOMBOSO
GON
GONANO
GOR
GORASSO
GORI
GORTAN
GORTANA
GOS
GOTO
GOVER
GRANDO
GRAVA
GRAZIO
GREATTI
GREGO
GRI
GRION
GRITA
GROP
GROPPO
GRUDINA
GRUER
GUARISE
GUGEL
GUION
GUS
GUSOLA
GUSOLA
GUZZO
HOFER
IAIZA
IANNI
IANNI
IETRI
IMELDA
IOAN
IOB
IOD
IOP
ISMA
ISMO
ISORA
ITALA
IUSSA
IVETTA
IVIANI
JUG
KLAVORA
LACOVIG
LADISCA
LALLAI
LAMIA
LANNI
LANT
LAVA
LAVIA
LEBAN
LEDA
LEITA
LENDARO
LENISA
LESA
LESIZZA
LESSI
LESSIO
LESTANI
LEVA
LIANI
LICCIA
LICEA
LIDA
LILIA
LINDAVER
LINZ
LINZI
LIPOMANI
LISENA
LIUT
LIVA
LIVON
LIZZI
LMA
LODE
LONDER
LONDERO
LOVO
LOZER
LUPATIN
MACOR
MAEIA
MAGHET
MAGNAN
MAIER
MAIERON
MAIRA
MALARA
MALLON
MANGE
MANIG
MANSI
MANSO
MANTARRO
MANZAN
MARI
MARRO
MARSON
MAS
MASERA
MASIERI
